kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
region_block,persistence,size_class,"(1.0, 10.0]",46640,-0.813911916196,-0.551578238782,fire_id,23072,-0.839271039037,-0.781006552177,-0.565351716103,-0.53461002727
region_block,persistence,size_class,"(10.0, 100.0]",31106,-0.292968177915,-0.367010170764,fire_id,6160,-0.31930803306,-0.267972231173,-0.380918560634,-0.351404303177
region_block,persistence,size_class,"(100.0, 1000.0]",7652,0.269968703857,-0.00184821392994,fire_id,599,0.220138611126,0.310244247738,-0.0250314553076,0.0216904625263
region_block,persistence,size_class,"(1000.0, inf]",599,0.582186613426,0.273513550066,fire_id,31,0.463020719583,0.655328226887,0.207411037723,0.362295380253
region_block,persistence,observation_quality,consecutive_history,21677,0.304784119131,-0.152339121083,fire_id,9212,0.247772463109,0.3542894441,-0.178119207847,-0.13067975664
region_block,persistence,observation_quality,history_has_gaps,66267,0.298866227177,-0.144850106102,fire_id,22488,0.259612227123,0.334527634767,-0.16163529192,-0.129898068714
region_block,state_plus_weather,region,central,24323,0.149325058676,0.00554907560849,fire_id,10105,0.117685131632,0.177703636096,0.00316214720498,0.00803638959709
region_block,state_plus_weather,region,east,17224,0.317193219962,0.011656727271,fire_id,6575,0.235768350045,0.417413118939,0.00556357326464,0.0181020782763
region_block,state_plus_weather,region,intermountain,23399,0.40263639253,0.00307301753268,fire_id,8866,0.372694501931,0.430913185082,0.00111875902181,0.00506376581527
region_block,state_plus_weather,region,west,22998,0.490716994359,0.00605320736163,fire_id,6154,0.4701276633,0.513278837531,0.0049411617591,0.00729824515231
region_block,state_plus_weather,season,DJF,12759,0.147177312587,0.0132709373884,fire_id,5237,0.0843111503998,0.227288389407,0.0095155463415,0.0166341269212
region_block,state_plus_weather,season,JJA,29913,0.499130805882,0.00337923320628,fire_id,8208,0.476346268406,0.517189389263,0.00216708147432,0.00481645288307
region_block,state_plus_weather,season,MAM,20363,0.355709778033,0.00547527974409,fire_id,8398,0.31414431482,0.388726245722,0.00348010530934,0.00802946421731
region_block,state_plus_weather,season,SON,24909,0.375099763251,0.0081444398285,fire_id,9857,0.335130065128,0.41540312104,0.00632548512332,0.00986588378322
region_block,state_plus_weather,size_class,"(0.0, 1.0]",1947,-8.74103787811,-1.21627864386,fire_id,1838,-9.76559833831,-7.88636220722,-1.63630510084,-0.868169454907
region_block,state_plus_weather,size_class,"(1.0, 10.0]",46640,-0.267559842717,-0.0052261653034,fire_id,23072,-0.283531067502,-0.249263797451,-0.00911014253915,-0.00128626548727
region_block,state_plus_weather,size_class,"(10.0, 100.0]",31106,0.0848877307609,0.0108457379112,fire_id,6160,0.0708870334417,0.0996030483241,0.00928224650964,0.0125208094001
region_block,state_plus_weather,size_class,"(100.0, 1000.0]",7652,0.282754899601,0.0109379818139,fire_id,599,0.252846440724,0.304573150354,0.00808136332093,0.013397887297
region_block,state_plus_weather,size_class,"(1000.0, inf]",599,0.313295691948,0.00462262858706,fire_id,31,0.171000113172,0.390389777534,-0.00547487153028,0.0142936729937
region_block,state_plus_weather,observation_quality,consecutive_history,21677,0.463317090628,0.00619385041385,fire_id,9212,0.432331094165,0.49173868041,0.0045662693537,0.00777009414937
